Experiment ID,Experiment type,Dataset,Data classes,MNIST_all_digits,Clients per cluster,Datapoints per client,Algorithm,MA vs GA,Total rounds,initial_model_parameters,first_round_client_to_cluster_assignment,Linear Delta,Model,Mix Mode,Exp Selector,Ablation_Param,K_is_unknown,Upper bound on K,Early stopping,Participation Rate
8001,Early stopping Unknown K,CIFAR10,10,,2,500,CLoVE,MA,100,different,evaluation_based,,CNN,zipped_with_overlap,exp204,,TRUE,15,TRUE,1
8002,Early stopping Unknown K,CIFAR10,10,,2,500,CLoVE,MA,100,same,evaluation_based,,CNN,zipped_with_overlap,exp204,,TRUE,15,TRUE,1
8003,Early stopping Unknown K,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,500,CLoVE,MA,20,same,evaluation_based,,CNN,no_mixture,,,TRUE,15,TRUE,1
8004,Early stopping Unknown K,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,500,CLoVE,MA,20,same,evaluation_based,,CNN,no_mixture,,,TRUE,15,TRUE,1
8005,Early stopping Unknown K,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,500,CLoVE,MA,20,same,evaluation_based,,CNN,zipped_with_overlap,exp203,,TRUE,15,TRUE,1
8006,Early stopping Unknown K,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,500,CLoVE,MA,20,same,evaluation_based,,CNN,zipped_with_overlap,exp201,,TRUE,15,TRUE,1
8007,Early stopping Unknown K,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,500,CLoVE,MA,20,same,evaluation_based,,CNN,zipped_with_overlap,exp202,,TRUE,15,TRUE,1
8008,Early stopping Unknown K,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,500,CLoVE,MA,20,same,evaluation_based,,CNN,zipped_with_overlap,exp501,,TRUE,15,TRUE,1
8009,Early stopping Unknown K,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,500,CLoVE,MA,20,same,evaluation_based,,CNN,zipped_with_overlap,exp301,,TRUE,15,TRUE,1
8010,Early stopping Unknown K,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,500,CLoVE,MA,20,same,evaluation_based,,CNN,zipped_with_overlap,exp111,,TRUE,15,TRUE,1
8100,Clustering accuracy8,CIFAR10,10,,5,500,CLoVE,MA,100,same,evaluation_based,,CNN,zipped_with_overlap,exp602,,TRUE,15,TRUE,1
8101,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,CLoVE,MA,100,same,evaluation_based,,CNN,zipped_with_overlap,exp602,,TRUE,15,TRUE,1
8102,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,CLoVE,MA,100,same,evaluation_based,,CNN,zipped_with_overlap,exp602,,TRUE,15,TRUE,1
